lat,lon,unit_name,lith,age_top_ma,age_bottom_ma,interval,source_id,precambrian
20.8,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,78.75,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,78.85,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,78.95,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,79.05,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,79.15,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
20.8,79.25,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.35,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.45,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.55,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.65,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.75,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.85,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,79.95,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,80.05,Paleoproterozoic sedimentary rocks,sedimentary rocks,1600.0,2500.0,Paleoproterozoic,154,True
20.8,80.15,Mesoproterozoic intrusive rocks,intrusive igneous rocks,1000.0,1600.0,Mesoproterozoic,154,True
20.8,80.25,Mesoproterozoic intrusive rocks,intrusive igneous rocks,1000.0,1600.0,Mesoproterozoic,154,True
20.8,80.35,Mesoproterozoic intrusive rocks,intrusive igneous rocks,1000.0,1600.0,Mesoproterozoic,154,True
